pos	3pG>A
1	0.0406740702168104
2	0.0309451410261758
3	0.0240492832602772
4	0.0220472782559707
5	0.021068168067486
6	0.0203506459001066
7	0.0194982884236395
8	0.0186168340758777
9	0.0186810065383523
10	0.0186000702477434
11	0.018232197961331
12	0.0180024896442287
13	0.0179524231564615
14	0.0179279958243525
15	0.0175256871090521
16	0.0173011595383294
17	0.0175671723563676
18	0.0171921132898723
19	0.0170282272537369
20	0.0169573816968512
21	0.0168620727549686
22	0.0169268767841865
23	0.0168056735071553
24	0.0170367981069941
25	0.0166733135048323
