pos	5pC>T
1	0.0395467922084317
2	0.030770917938964
3	0.0235355930031396
4	0.0217419498691241
5	0.0209132059148409
6	0.0198996985851104
7	0.0194162921570436
8	0.0186361137240698
9	0.0183301709756774
10	0.0182277380489878
11	0.0181935844829209
12	0.0178934339411687
13	0.0176756023008791
14	0.0176371614222847
15	0.0176004805696434
16	0.0172370066049
17	0.0176110279952453
18	0.0172349464399209
19	0.0169366394577197
20	0.0169493267550622
21	0.0168552880951729
22	0.0167532808348674
23	0.0166769536349828
24	0.0164926316783892
25	0.0164885236344608
