# table produced by mapDamage version 2.2.2
# using mapped file /home/bioinf2026/laskina/miurus_project/results/mapping_v2/sep_bams/miurus_merged.bam and /home/bioinf2026/laskina/miurus_project/references/Microtus/M_ochrogaster_ref.fna as reference file
# Std: strand of reads
Std	Length	Occurences 
+	74	50657
+	93	45923
+	101	38461
+	121	18366
+	125	16620
+	81	48893
+	99	41151
+	88	44098
+	117	21842
+	98	42107
+	112	26764
+	67	48593
+	78	49826
+	116	22852
+	70	49844
+	102	37437
+	90	42867
+	80	49105
+	126	16070
+	72	51011
+	71	50309
+	120	19089
+	111	27863
+	160	2539
+	97	42965
+	76	50263
+	65	46484
+	86	45611
+	92	41904
+	134	10834
+	83	47551
+	77	50199
+	163	2079
+	61	37411
+	59	35352
+	131	12688
+	166	1784
+	113	25682
+	75	50582
+	89	43716
+	135	10159
+	87	44897
+	115	23958
+	38	7328
+	108	30820
+	64	45802
+	130	13429
+	49	22770
+	145	5857
+	44	15374
+	62	38619
+	73	50618
+	100	39709
+	56	32201
+	95	44828
+	146	5494
+	82	47798
+	109	29739
+	96	43676
+	52	27222
+	51	25842
+	132	12135
+	104	35172
+	66	47941
+	58	34246
+	114	24815
+	48	21297
+	110	29152
+	123	17016
+	107	32053
+	149	4739
+	129	13817
+	106	33063
+	68	49273
+	84	47276
+	144	6250
+	286	9
+	60	36821
+	53	28276
+	47	19837
+	164	2029
+	140	7841
+	94	45744
+	122	17574
+	162	2306
+	105	34090
+	63	39868
+	136	9700
+	79	49408
+	119	19716
+	45	16642
+	85	46689
+	142	6993
+	69	49467
+	55	31106
+	46	18278
+	137	9298
+	39	8574
+	124	17598
+	175	1010
+	133	11455
+	91	42149
+	54	30169
+	57	33225
+	118	20778
+	37	5617
+	209	143
+	127	15329
+	150	4359
+	167	1713
+	155	3278
+	103	36521
+	185	550
+	153	3658
+	50	24281
+	154	3508
+	147	5362
+	141	7508
+	128	14636
+	156	3024
+	193	348
+	143	6557
+	36	4822
+	152	3983
+	205	168
+	202	213
+	170	1455
+	165	1862
+	139	8056
+	151	4110
+	35	3904
+	32	2204
+	138	8764
+	43	13848
+	168	1580
+	33	2709
+	42	12541
+	157	3041
+	171	1353
+	158	2786
+	180	811
+	41	11245
+	183	636
+	178	904
+	176	965
+	40	9740
+	184	624
+	148	4943
+	31	1868
+	199	228
+	179	868
+	28	1000
+	26	695
+	172	1250
+	221	89
+	173	1172
+	159	2612
+	34	3340
+	190	444
+	187	503
+	161	2416
+	174	1102
+	30	1441
+	225	45
+	182	637
+	169	1481
+	200	252
+	25	625
+	189	454
+	203	172
+	196	326
+	177	986
+	223	79
+	266	9
+	181	709
+	192	375
+	27	835
+	195	336
+	198	282
+	197	316
+	215	92
+	216	106
+	220	81
+	238	33
+	208	166
+	29	1214
+	226	55
+	206	170
+	201	237
+	219	85
+	247	22
+	211	139
+	230	44
+	191	367
+	186	535
+	222	77
+	263	16
+	212	110
+	194	333
+	242	30
+	210	133
+	213	115
+	188	462
+	246	23
+	233	44
+	231	44
+	207	164
+	218	81
+	214	107
+	236	41
+	229	54
+	269	12
+	261	10
+	228	44
+	227	45
+	204	185
+	248	20
+	260	18
+	262	18
+	243	29
+	264	7
+	241	20
+	284	2
+	217	107
+	234	28
+	256	10
+	273	10
+	280	5
+	237	30
+	239	40
+	249	22
+	250	20
+	258	16
+	232	38
+	251	16
+	282	5
+	268	8
+	254	20
+	224	55
+	240	31
+	285	11
+	271	11
+	24	29
+	265	12
+	281	8
+	291	9
+	235	47
+	270	12
+	252	24
+	279	8
+	259	16
+	274	4
+	287	5
+	245	23
+	257	17
+	277	6
+	244	21
+	255	12
+	253	14
+	272	8
+	292	1
+	267	6
+	275	7
+	276	5
+	278	8
+	283	10
+	294	1
+	289	3
+	288	5
+	23	6
+	290	7
+	293	1
-	63	39981
-	65	46602
-	120	19307
-	60	36833
-	104	35319
-	53	28677
-	89	43234
-	55	31161
-	80	49312
-	75	50983
-	100	39956
-	92	41720
-	126	16013
-	105	34281
-	46	18371
-	83	47418
-	57	33307
-	114	24877
-	42	12555
-	68	48764
-	79	49748
-	107	31997
-	44	15441
-	38	7319
-	93	45652
-	110	28777
-	71	50347
-	61	37475
-	56	32451
-	131	12675
-	88	44243
-	148	4943
-	101	38395
-	94	45488
-	81	48718
-	98	41929
-	127	15333
-	47	19575
-	78	49866
-	117	21838
-	58	34514
-	137	9393
-	138	8820
-	99	40939
-	179	780
-	113	25662
-	142	7018
-	123	16982
-	135	10298
-	72	50714
-	39	8628
-	181	715
-	103	36399
-	77	50535
-	115	23789
-	66	47594
-	86	45463
-	97	42796
-	84	47155
-	54	29514
-	108	31023
-	144	6288
-	73	50780
-	67	48554
-	121	18298
-	95	44935
-	82	48672
-	116	22870
-	109	29867
-	52	27153
-	132	12025
-	64	45584
-	90	42886
-	147	5256
-	122	17690
-	49	22990
-	119	20178
-	69	49786
-	48	21363
-	134	10930
-	74	50843
-	130	13068
-	43	14060
-	96	43651
-	35	3955
-	76	50695
-	85	46440
-	87	44989
-	50	24329
-	70	50122
-	91	42101
-	41	11159
-	59	35374
-	129	13979
-	145	5866
-	106	33040
-	136	9696
-	149	4704
-	152	3808
-	102	37522
-	118	21191
-	112	26748
-	177	886
-	34	3288
-	124	17644
-	183	688
-	62	38123
-	111	27899
-	40	9771
-	150	4537
-	133	11323
-	125	16962
-	128	14570
-	160	2556
-	157	3078
-	143	6590
-	185	576
-	162	2251
-	32	2286
-	140	7832
-	153	3605
-	168	1642
-	163	2094
-	178	842
-	156	3112
-	172	1224
-	198	266
-	45	16682
-	51	25905
-	151	4195
-	139	8312
-	180	782
-	26	761
-	154	3464
-	166	1837
-	164	2008
-	219	93
-	167	1623
-	158	2889
-	217	102
-	171	1376
-	141	7425
-	191	394
-	33	2718
-	155	3284
-	146	5511
-	176	979
-	37	5599
-	165	1960
-	182	665
-	36	4819
-	31	1786
-	190	402
-	170	1418
-	174	1106
-	175	1023
-	27	839
-	188	469
-	186	522
-	226	54
-	243	29
-	169	1458
-	161	2365
-	30	1450
-	199	268
-	214	128
-	211	132
-	187	501
-	192	365
-	212	155
-	216	89
-	159	2759
-	173	1186
-	25	590
-	196	293
-	224	62
-	193	357
-	202	211
-	29	1203
-	249	16
-	203	199
-	184	640
-	215	86
-	208	159
-	194	346
-	206	191
-	235	39
-	189	450
-	222	79
-	204	197
-	195	322
-	265	8
-	28	1020
-	209	130
-	238	25
-	232	49
-	200	232
-	223	87
-	242	23
-	236	32
-	264	11
-	218	83
-	24	35
-	272	10
-	290	7
-	237	22
-	245	21
-	253	22
-	197	274
-	239	26
-	251	18
-	201	217
-	227	57
-	213	133
-	220	83
-	269	8
-	248	22
-	225	64
-	205	176
-	282	11
-	207	167
-	210	129
-	284	12
-	233	34
-	230	45
-	234	37
-	254	15
-	231	48
-	244	28
-	257	14
-	262	15
-	221	71
-	229	49
-	246	25
-	228	53
-	247	17
-	259	17
-	267	15
-	276	6
-	281	4
-	241	33
-	273	6
-	278	10
-	260	25
-	280	6
-	274	7
-	287	3
-	250	24
-	240	28
-	261	10
-	268	7
-	258	16
-	252	18
-	266	14
-	256	21
-	286	10
-	270	8
-	271	13
-	255	18
-	288	3
-	279	7
-	285	6
-	289	3
-	275	4
-	263	10
-	277	6
-	23	1
-	292	1
-	291	2
-	283	2
-	293	1
